,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
0,0,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 37누3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202610&gubun=K,2017.05?(18년형),"70,530 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,449만원",59,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
1,1,현대 더 뉴 그랜저 하이브리드 2.4 HEV 캘리그래피,차량번호 156마6718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202609&gubun=K,2020.11?(21년형),"46,128 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km","3,490만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
2,2,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 153오1506,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194808&gubun=K,2021.09?(22년형),"21,062 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"3,090만원",97,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
3,3,현대 더 럭셔리 그랜저 Q270 LPi ,차량번호 05마5118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202044&gubun=K,2009.09?(10년형),"162,000 km",LPG,"2,656 cc (165마력)",검정색,만료,280만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
6,6,현대 더 뉴 그랜저  3.0 LPi  익스클루시브???,차량번호 277부8309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202297&gubun=K,2021.02,"95,455 km",LPG,"2,999 cc (235마력)",검정색,"60개월 / 100,000km","2,869만원",81,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
7,7,현대 그랜저HG 300  익스클루시브,차량번호 01너2361,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204768&gubun=K,2014.01,"177,209 km",가솔린,"2,999 cc (270마력)",검정색,만료,770만원,21,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
8,8,현대 그랜저IG 3.0  익스클루시브,차량번호 36도9568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204163&gubun=K,2017.01,"149,471 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,560만원",43,무,무,무,유,무,무,무,무,무,유,등록,,,,,,,,,
9,9,현대 그랜저HG 300 프리미엄,차량번호 36나0824,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199001&gubun=K,2013.05?(14년형),"235,888 km",가솔린,"2,999 cc (270마력)",검정색,만료,500만원,15,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
10,10,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 361서3347,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205040&gubun=K,2020.03,"121,927 km",LPG,"2,999 cc (235마력)",검정색,정보없음,"2,350만원",73,유,유,유,유,유,유,유,유,무,유,등록,,,,,,,,,
11,11,현대 더 럭셔리 그랜저 Q270 LPi ,차량번호 05마5118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202044&gubun=K,2009.09?(10년형),"162,000 km",LPG,"2,656 cc (165마력)",검정색,만료,280만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
12,12,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 37누3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202610&gubun=K,2017.05?(18년형),"70,530 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,449만원",59,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
13,13,현대 더 뉴 그랜저 하이브리드 2.4 HEV 캘리그래피,차량번호 156마6718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202609&gubun=K,2020.11?(21년형),"46,128 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km","3,490만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
14,14,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 153오1506,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194808&gubun=K,2021.09?(22년형),"21,062 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"3,090만원",97,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
