,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
4,4,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
5,5,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
24,24,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
25,25,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
44,44,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
45,45,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
64,64,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
65,65,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
84,84,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 프리미엄,차량번호 163호2060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199981&gubun=K,2023.03,30 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,무,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
85,85,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
