,Price
0,51.74
1,41.47
2,17.81
3,18.2
4,17.55
5,7.8
7,20.8
8,62.27
9,28.47
10,78.0
11,30.55
12,33.67
13,33.8
14,22.1
15,130.0
16,77.87
17,17.42
18,118.3
19,60.97
20,156.0
21,12.87
22,27.95
23,98.8
25,16.38
26,46.8
27,98.67
28,116.87
29,27.56
30,46.8
31,46.67
32,19.11
33,129.35
34,114.27
35,22.09
36,18.07
37,90.87
38,59.67
39,44.98
40,64.35
41,101.27
42,15.6
43,42.77
44,81.25
45,71.37
46,59.15
47,38.87
48,19.5
50,57.85
51,96.07
52,19.5
53,28.47
54,76.44
55,41.6
56,42.9
57,25.87
58,71.37
59,116.87
60,34.45
61,19.37
62,16.77
63,123.37
64,23.27
65,76.7
66,116.87
67,56.55
68,57.07
69,124.8
70,25.87
71,12.87
72,27.3
73,97.37
74,31.2
75,42.9
76,46.79
77,73.97
78,58.5
79,149.37
80,34.97
81,44.07
82,45.37
83,28.78
84,27.95
85,45.37
86,85.67
87,9.1
88,71.37
89,51.87
90,18.85
91,36.27
92,64.76
93,83.07
94,78.0
95,111.67
96,32.37
97,46.67
98,103.35
99,46.8
100,31.07
101,19.37
102,14.17
103,124.67
104,51.35
105,24.57
106,130.0
107,44.2
108,17.55
109,35.75
110,15.34
111,115.57
112,81.64
113,19.37
114,14.17
115,65.65
116,46.8
117,51.87
118,87.75
119,20.8
120,40.17
121,150.67
122,33.67
123,29.77
124,33.8
125,6.24
126,45.37
127,37.05
128,56.55
129,13.78
130,12.87
131,34.45
132,45.5
133,50.38
134,11.05
135,50.7
136,112.97
137,51.74
138,24.57
139,42.77
140,23.4
141,45.37
142,85.67
143,27.17
144,47.97
145,18.07
146,88.26
147,10.01
148,21.45
149,37.7
150,60.97
151,25.87
152,33.67
153,31.07
154,45.37
155,25.87
156,17.55
157,23.27
158,16.25
159,25.87
160,11.63
161,64.94
162,94.77
163,3.89
164,36.4
165,45.11
166,85.8
167,7.8
168,24.57
169,45.37
170,57.07
171,53.17
172,57.85
173,62.4
174,29.77
175,14.17
176,45.37
177,21.97
178,116.87
179,41.47
180,20.67
181,26.91
182,79.95
183,90.87
184,41.47
185,24.44
186,155.81
187,49.27
188,59.67
189,102.31
190,47.19
191,11.57
192,101.27
193,10.14
194,100.1
195,22.62
196,10.27
197,29.77
198,90.87
199,87.1
200,32.5
201,115.7
202,63.57
203,32.37
204,116.87
205,41.47
206,116.99
207,28.47
208,83.85
209,62.27
210,24.44
211,45.37
212,14.01
213,54.6
214,39.0
215,19.37
216,126.75
217,11.05
218,124.8
219,139.75
220,124.67
221,32.37
222,42.77
223,68.25
224,62.36
225,84.37
226,19.37
227,22.09
228,37.05
229,14.3
230,33.67
231,64.74
232,149.5
233,57.2
234,71.37
235,20.67
236,36.27
237,27.95
238,90.87
239,44.85
240,13.39
241,11.57
242,130.0
243,34.97
244,11.18
245,29.77
246,24.05
247,123.37
248,20.67
249,48.1
250,17.55
251,104.0
252,42.9
253,79.95
254,73.97
255,47.97
256,8.45
257,125.45
258,9.49
259,63.05
260,122.07
261,113.75
262,38.87
263,123.37
264,26.0
265,42.38
266,26.0
267,51.87
268,24.57
269,14.3
270,136.37
271,129.87
272,32.5
273,16.77
274,136.5
275,61.09
276,40.3
277,96.07
278,64.87
279,31.07
280,101.27
281,4.93
282,25.74
283,31.2
284,24.05
285,34.97
286,23.4
287,96.85
288,49.92
289,68.9
290,41.47
291,77.87
292,15.47
293,20.67
294,20.67
295,24.57
296,26.78
297,47.97
298,24.57
299,21.96
300,33.67
301,10.27
302,26.0
303,42.77
304,19.37
305,56.55
306,114.27
307,20.67
308,55.77
309,71.37
310,17.55
311,108.55
312,46.67
313,93.47
314,15.47
315,100.88
316,23.73
317,61.62
318,41.47
319,92.17
320,59.15
322,45.37
323,62.4
324,76.05
325,46.67
326,41.47
327,25.87
328,32.37
329,21.97
330,50.18
331,6.17
332,37.57
333,36.27
334,49.27
335,55.9
336,114.27
337,127.14
338,19.19
339,92.82
340,93.47
341,89.57
342,27.95
343,71.37
344,20.8
345,29.77
346,91.65
347,25.87
348,31.85
349,18.2
350,10.14
351,20.67
352,76.7
353,62.27
354,38.35
355,25.87
356,20.67
357,14.95
358,76.7
359,44.07
360,31.07
361,28.6
362,32.37
363,17.81
364,31.85
365,15.59
366,59.15
367,12.87
368,51.87
369,36.27
370,64.87
371,96.98
372,46.67
373,60.84
374,43.42
375,36.27
376,64.87
377,24.05
378,85.8
379,110.37
380,5.46
381,15.6
382,71.37
383,29.12
384,29.77
385,38.87
386,10.92
387,16.25
388,11.7
