iter	RMSE
0	32.62679242
1	30.89983734
2	29.32579744
3	27.92280594
4	26.62725467
5	25.40804683
6	24.34624161
7	23.3591801
8	22.43292101
9	21.6065657
10	20.86351921
11	20.18736028
12	19.57025975
13	19.024991
14	18.49420793
15	18.02277227
16	17.6000253
17	17.22905539
18	16.88976373
19	16.57134869
20	16.27246038
21	16.02128207
22	15.78054581
23	15.56134886
24	15.35446185
25	15.17439019
26	14.98882705
27	14.81817948
28	14.67156159
29	14.51762457
30	14.38242673
31	14.26611121
32	14.1623482
33	14.06486404
34	13.97880296
35	13.87380437
36	13.78659988
37	13.70696329
38	13.63013687
39	13.5627119
40	13.49855351
41	13.42968791
42	13.34256189
43	13.26707535
44	13.19279406
45	13.13512685
46	13.05248845
47	12.9827171
48	12.94151684
49	12.90177678
50	12.85518309
51	12.78920126
52	12.72479793
53	12.683475
54	12.64263656
55	12.60448833
56	12.57519658
57	12.53512886
58	12.50712917
59	12.4705091
60	12.43433117
61	12.3964756
62	12.36136172
63	12.33085671
64	12.30665774
65	12.24286909
66	12.21011428
67	12.1804286
68	12.13264764
69	12.11705204
70	12.07956956
71	12.03146441
72	11.9984597
73	11.96597046
74	11.94621781
75	11.92324096
76	11.87834035
77	11.84513743
78	11.8263824
79	11.80614962
80	11.77939282
81	11.75667375
82	11.7339017
83	11.71429385
84	11.69910995
85	11.68579902
86	11.66228816
87	11.64470027
88	11.61769348
89	11.59636198
90	11.56559694
91	11.55183519
92	11.5358968
93	11.50995082
94	11.49707728
95	11.48033993
96	11.46178971
97	11.45131584
98	11.43793316
99	11.42618083
100	11.40330902
101	11.38637442
102	11.36750328
103	11.35538131
104	11.33911132
105	11.33019351
106	11.31902037
107	11.31024716
108	11.30005482
109	11.28335558
110	11.25874293
111	11.23992257
112	11.22590456
113	11.20722336
114	11.19173371
115	11.18788591
116	11.1740109
117	11.1566332
118	11.14456652
119	11.13477002
120	11.12948008
121	11.11089304
122	11.10161516
123	11.0903346
124	11.07696411
125	11.06724198
126	11.04945891
127	11.0297883
128	11.018559
129	11.01422683
130	11.00802212
131	11.00364655
132	10.99343773
133	10.98829486
134	10.97336806
135	10.96122684
136	10.94496073
137	10.92101863
138	10.91250018
139	10.90760626
140	10.89963383
141	10.89047584
142	10.88519636
143	10.86570471
144	10.85832457
145	10.83809768
146	10.83155936
147	10.82068646
148	10.81450489
149	10.80720698
150	10.7974353
151	10.78110074
152	10.77039585
153	10.7635021
154	10.75841964
155	10.74720538
156	10.73953711
157	10.72630214
158	10.71503441
159	10.70220728
160	10.69676543
161	10.69191257
162	10.68545958
163	10.67596635
164	10.66648854
165	10.6541932
166	10.65016899
167	10.63577822
168	10.62344354
169	10.61681284
170	10.60227358
171	10.59148652
172	10.58943865
173	10.58453301
174	10.57982648
175	10.57146397
176	10.56085876
177	10.54061822
178	10.52065894
179	10.51615093
180	10.50431768
181	10.49693095
182	10.48687223
183	10.48334578
184	10.46706976
185	10.45346769
186	10.43753944
187	10.42120546
188	10.41192509
189	10.40593872
190	10.3908509
191	10.38035093
192	10.37362552
193	10.36823825
194	10.36214676
195	10.35745916
196	10.34521512
197	10.33691493
198	10.32835411
199	10.31855545
200	10.31296355
201	10.30846756
202	10.30253712
203	10.29230493
204	10.28344648
205	10.27674701
206	10.27349852
207	10.26376837
208	10.25742031
209	10.25019013
210	10.23741703
211	10.22727395
212	10.22093404
213	10.21874796
214	10.21658392
215	10.21290532
216	10.20702097
217	10.1968536
218	10.19183323
219	10.1863455
220	10.17892728
221	10.17382348
222	10.16815695
223	10.16138596
224	10.15389047
225	10.14792401
226	10.13933177
227	10.12955449
228	10.1186414
229	10.10933279
230	10.10602175
231	10.10108295
232	10.09687042
233	10.08848999
234	10.08628404
235	10.07811001
236	10.07288465
237	10.06422485
238	10.0592434
239	10.04655178
240	10.03804433
241	10.03695174
242	10.03103194
243	10.02482045
244	10.02282239
245	10.01935648
246	10.01549827
247	10.01303496
248	10.00512636
249	9.998525936
250	9.994507395
251	9.987040925
252	9.981281176
253	9.974893022
254	9.970661153
255	9.964242919
256	9.957273527
257	9.956265466
258	9.951622477
259	9.945025434
260	9.940358488
261	9.934057054
262	9.926231841
263	9.921217067
264	9.914778614
265	9.907948623
266	9.902936402
267	9.899274764
268	9.893492293
269	9.88963951
270	9.882296341
271	9.879311632
272	9.870798655
273	9.866783119
274	9.865783132
275	9.860670013
276	9.852855922
277	9.84828386
278	9.841289498
279	9.836854742
280	9.832783759
281	9.828265149
282	9.825796302
283	9.819974789
284	9.816928855
285	9.814426632
286	9.812472128
287	9.808519712
288	9.804389282
289	9.800252863
290	9.794808295
291	9.789281907
292	9.783786817
293	9.782537695
294	9.777483306
295	9.770862682
296	9.765853278
297	9.76121728
298	9.756012578
299	9.752751999
300	9.749439457
301	9.747069583
302	9.743680395
303	9.740605356
304	9.73558729
305	9.728388208
306	9.725594999
307	9.724850195
308	9.719443842
309	9.715970776
310	9.715242261
311	9.712078147
312	9.709832127
313	9.707449707
314	9.702112195
315	9.698675453
316	9.69236102
317	9.688504558
318	9.684749975
319	9.682673438
320	9.677321176
321	9.675378857
322	9.671331007
323	9.666192349
324	9.661274831
325	9.658527467
326	9.65380564
327	9.648993972
