iter	Passed	Remaining
0	10	10437
1	17	8582
2	22	7570
3	29	7241
4	36	7225
5	45	7566
6	51	7343
7	58	7275
8	66	7268
9	72	7202
10	81	7292
11	87	7178
12	94	7139
13	100	7089
14	107	7068
15	116	7139
16	126	7332
17	134	7320
18	141	7291
19	147	7238
20	154	7182
21	161	7177
22	167	7121
23	173	7058
24	180	7023
25	185	6949
26	191	6913
27	197	6859
28	205	6875
29	213	6896
30	219	6876
31	227	6884
32	234	6879
33	241	6858
34	249	6866
35	258	6927
36	267	6967
37	273	6933
38	287	7075
39	293	7050
40	299	7006
41	306	6984
42	312	6965
43	319	6935
44	327	6941
45	333	6909
46	339	6881
47	346	6863
48	351	6822
49	358	6808
50	366	6811
51	372	6795
52	380	6796
53	387	6783
54	395	6790
55	404	6811
56	412	6822
57	418	6804
58	431	6876
59	437	6846
60	443	6820
61	449	6801
62	456	6782
63	462	6759
64	469	6758
65	477	6752
66	485	6754
67	492	6752
68	499	6738
69	505	6716
70	512	6699
71	518	6685
72	525	6679
73	536	6713
74	543	6707
75	550	6694
76	557	6680
77	564	6670
78	570	6648
79	576	6625
80	582	6610
81	588	6593
82	594	6572
83	602	6568
84	609	6556
85	616	6548
86	622	6533
87	630	6537
88	638	6531
89	644	6517
90	653	6522
91	663	6548
92	671	6549
93	682	6578
94	688	6558
95	695	6553
96	702	6540
97	709	6532
98	717	6526
99	724	6518
100	731	6509
101	738	6497
102	744	6480
103	752	6480
104	760	6484
105	767	6474
106	777	6491
107	785	6485
108	793	6485
109	799	6471
110	805	6453
111	813	6448
112	819	6433
113	826	6425
114	833	6410
115	843	6424
116	850	6416
117	857	6411
118	864	6400
119	871	6392
120	877	6374
121	886	6379
122	893	6369
123	900	6363
124	912	6388
125	924	6415
126	931	6405
127	939	6403
128	946	6393
129	954	6386
130	961	6381
131	968	6371
132	976	6362
133	983	6355
134	990	6348
135	997	6340
136	1005	6332
137	1012	6325
138	1021	6324
139	1034	6351
140	1043	6358
141	1052	6361
142	1059	6348
143	1067	6345
144	1076	6345
145	1083	6339
146	1090	6327
147	1096	6313
148	1103	6301
149	1110	6290
150	1118	6286
151	1125	6278
152	1132	6270
153	1141	6272
154	1153	6289
155	1161	6284
156	1169	6279
157	1177	6273
158	1185	6271
159	1193	6263
160	1201	6259
161	1207	6247
162	1216	6247
163	1223	6234
164	1230	6226
165	1236	6212
166	1242	6198
167	1249	6189
168	1261	6201
169	1270	6204
170	1279	6203
171	1287	6197
172	1294	6190
173	1301	6179
174	1308	6168
175	1316	6164
176	1324	6160
177	1333	6156
178	1341	6152
179	1351	6155
180	1359	6149
181	1366	6142
182	1378	6153
183	1386	6147
184	1394	6144
185	1400	6131
186	1407	6120
187	1420	6134
188	1430	6136
189	1437	6128
190	1445	6124
191	1453	6114
192	1460	6106
193	1467	6095
194	1476	6095
195	1490	6115
196	1500	6116
197	1506	6103
198	1515	6099
199	1523	6092
200	1533	6096
201	1541	6088
202	1548	6081
203	1557	6077
204	1565	6072
205	1573	6066
206	1581	6057
207	1590	6054
208	1597	6047
209	1610	6056
210	1617	6048
211	1624	6038
212	1631	6029
213	1640	6025
214	1648	6018
215	1656	6011
216	1664	6004
217	1670	5991
218	1676	5980
219	1683	5969
220	1698	5987
221	1706	5979
222	1713	5970
223	1723	5969
224	1736	5982
225	1745	5977
226	1752	5969
227	1762	5967
228	1770	5962
229	1779	5958
230	1786	5947
231	1794	5940
232	1802	5933
233	1810	5927
234	1817	5917
235	1826	5914
236	1837	5915
237	1847	5914
238	1855	5908
239	1862	5898
240	1874	5902
241	1881	5893
242	1890	5889
243	1897	5878
244	1904	5868
245	1914	5867
246	1921	5858
247	1932	5860
248	1942	5857
249	1950	5852
250	1958	5843
251	1965	5834
252	1978	5841
253	1988	5841
254	1997	5835
255	2010	5842
256	2018	5834
257	2023	5820
258	2030	5809
259	2037	5799
260	2044	5789
261	2051	5777
262	2058	5769
263	2065	5758
264	2073	5750
265	2081	5743
266	2092	5745
267	2101	5738
268	2107	5728
269	2117	5723
270	2124	5715
271	2131	5703
272	2140	5699
273	2147	5689
274	2155	5681
275	2162	5671
276	2170	5665
277	2178	5657
278	2187	5652
279	2196	5646
280	2205	5642
281	2216	5644
282	2225	5638
283	2233	5632
284	2241	5624
285	2249	5615
286	2255	5603
287	2262	5593
288	2269	5583
289	2275	5570
290	2284	5565
291	2292	5558
292	2300	5551
293	2307	5540
294	2314	5532
295	2323	5525
296	2334	5525
297	2346	5527
298	2356	5524
299	2363	5515
300	2371	5507
301	2379	5499
302	2387	5491
303	2394	5482
304	2402	5473
305	2409	5465
306	2416	5455
307	2423	5444
308	2430	5434
309	2437	5425
310	2453	5434
311	2461	5427
312	2468	5417
313	2476	5409
314	2485	5404
315	2493	5397
316	2502	5392
317	2511	5385
318	2520	5380
319	2527	5369
320	2535	5362
321	2542	5352
322	2549	5343
323	2557	5336
324	2565	5328
325	2578	5330
326	2587	5325
327	2596	5319
328	2602	5308
329	2610	5300
330	2617	5290
331	2624	5281
332	2632	5272
333	2637	5259
334	2645	5250
335	2651	5240
336	2659	5232
337	2668	5225
338	2676	5219
339	2684	5210
340	2697	5212
341	2706	5206
342	2715	5200
343	2723	5193
344	2730	5183
345	2737	5173
346	2746	5168
347	2752	5157
348	2759	5147
349	2769	5142
350	2779	5138
351	2785	5128
352	2793	5120
353	2802	5113
354	2813	5111
355	2822	5105
356	2830	5098
357	2838	5089
358	2846	5082
359	2853	5073
360	2860	5063
361	2867	5054
362	2875	5045
363	2884	5040
364	2897	5040
365	2907	5037
366	2920	5036
367	2930	5033
368	2939	5026
369	2946	5017
370	2955	5010
371	2966	5008
372	2975	5001
373	2984	4995
374	2993	4988
375	3003	4985
376	3013	4980
377	3027	4980
378	3034	4971
379	3042	4963
380	3049	4954
381	3058	4948
382	3067	4941
383	3074	4931
384	3082	4924
385	3090	4916
386	3098	4907
387	3106	4899
388	3113	4889
389	3124	4886
390	3134	4882
391	3144	4876
392	3151	4868
393	3159	4859
394	3166	4850
395	3174	4841
396	3182	4834
397	3191	4826
398	3198	4817
399	3204	4807
400	3212	4799
401	3219	4788
402	3230	4785
403	3237	4775
404	3247	4770
405	3259	4768
406	3267	4760
407	3275	4751
408	3282	4743
409	3290	4735
410	3299	4728
411	3310	4723
412	3319	4718
413	3330	4714
414	3344	4714
415	3354	4709
416	3362	4701
417	3371	4693
418	3379	4686
419	3389	4680
420	3399	4674
421	3406	4665
422	3414	4656
423	3424	4652
424	3437	4650
425	3447	4644
426	3453	4633
427	3462	4627
428	3475	4625
429	3484	4619
430	3492	4610
431	3500	4602
432	3508	4594
433	3516	4585
434	3523	4576
435	3534	4571
436	3546	4568
437	3554	4561
438	3562	4552
439	3570	4544
440	3578	4536
441	3586	4527
442	3595	4521
443	3603	4512
444	3610	4503
445	3621	4498
446	3629	4490
447	3637	4482
448	3650	4480
449	3661	4474
450	3670	4467
451	3681	4462
452	3687	4453
453	3695	4444
454	3705	4438
455	3715	4431
456	3722	4423
457	3738	4423
458	3747	4417
459	3756	4409
460	3770	4408
461	3779	4401
462	3787	4392
463	3795	4384
464	3802	4374
465	3809	4365
466	3817	4357
467	3824	4347
468	3834	4341
469	3844	4335
470	3850	4324
471	3857	4315
472	3864	4305
473	3870	4295
474	3879	4288
475	3891	4283
476	3900	4276
477	3909	4268
478	3918	4261
479	3930	4257
480	3937	4249
481	3946	4240
482	3954	4232
483	3962	4224
484	3970	4215
485	3978	4207
486	3986	4199
487	3999	4196
488	4008	4188
489	4017	4181
490	4026	4174
491	4036	4167
492	4045	4160
493	4053	4151
494	4062	4144
495	4070	4135
496	4079	4128
497	4088	4121
498	4100	4116
499	4108	4108
500	4117	4100
501	4126	4093
502	4134	4085
503	4144	4078
504	4154	4072
505	4163	4064
506	4172	4057
507	4182	4051
508	4190	4042
509	4197	4033
510	4243	4060
511	4251	4052
512	4259	4043
513	4268	4035
514	4276	4027
515	4282	4017
516	4290	4007
517	4297	3998
518	4305	3990
519	4313	3981
520	4321	3973
521	4330	3965
522	4337	3955
523	4348	3950
524	4357	3942
525	4366	3935
526	4375	3926
527	4383	3918
528	4391	3909
529	4399	3901
530	4409	3894
531	4416	3885
532	4427	3879
533	4433	3869
534	4440	3859
535	4447	3849
536	4455	3841
537	4465	3834
538	4473	3826
539	4481	3817
540	4496	3814
541	4505	3806
542	4512	3797
543	4522	3791
544	4535	3786
545	4543	3778
546	4552	3770
547	4563	3763
548	4573	3757
549	4582	3749
550	4589	3740
551	4597	3731
552	4606	3723
553	4614	3714
554	4621	3705
555	4629	3696
556	4637	3688
557	4645	3679
558	4652	3670
559	4660	3661
560	4673	3657
561	4682	3649
562	4690	3640
563	4697	3631
564	4708	3625
565	4718	3617
566	4727	3609
567	4734	3601
568	4742	3592
569	4750	3583
570	4759	3575
571	4768	3567
572	4775	3558
573	4782	3549
574	4791	3541
575	4801	3534
576	4809	3525
577	4816	3516
578	4823	3507
579	4831	3498
580	4839	3490
581	4847	3481
582	4855	3472
583	4863	3464
584	4873	3457
585	4881	3448
586	4889	3440
587	4899	3433
588	4912	3427
589	4921	3419
590	4928	3410
591	4936	3402
592	4946	3395
593	4953	3385
594	4963	3378
595	4971	3369
596	4978	3360
597	4986	3352
598	4993	3343
599	5001	3334
600	5009	3325
601	5017	3317
602	5023	3307
603	5037	3302
604	5045	3293
605	5053	3285
606	5066	3280
607	5072	3270
608	5079	3261
609	5086	3251
610	5095	3244
611	5103	3235
612	5111	3227
613	5120	3219
614	5126	3209
615	5136	3201
616	5144	3193
617	5155	3186
618	5164	3178
619	5173	3170
620	5181	3162
621	5191	3154
622	5201	3147
623	5209	3138
624	5217	3130
625	5224	3121
626	5232	3113
627	5240	3104
628	5248	3095
629	5261	3090
630	5270	3082
631	5280	3074
632	5286	3065
633	5294	3056
634	5303	3048
635	5311	3040
636	5318	3030
637	5326	3022
638	5333	3013
639	5344	3006
640	5354	2998
641	5360	2989
642	5373	2983
643	5382	2975
644	5390	2967
645	5398	2958
646	5407	2950
647	5416	2942
648	5424	2933
649	5431	2924
650	5442	2917
651	5450	2909
652	5458	2900
653	5466	2892
654	5475	2883
655	5482	2875
656	5495	2868
657	5503	2860
658	5510	2851
659	5518	2842
660	5527	2834
661	5535	2826
662	5544	2818
663	5552	2809
664	5560	2801
665	5569	2793
666	5577	2784
667	5587	2776
668	5601	2771
669	5613	2764
670	5621	2756
671	5629	2747
672	5639	2740
673	5647	2731
674	5653	2722
675	5663	2714
676	5671	2705
677	5678	2697
678	5687	2688
679	5694	2679
680	5702	2671
681	5709	2662
682	5717	2653
683	5733	2648
684	5748	2643
685	5762	2637
686	5769	2628
687	5776	2619
688	5783	2610
689	5790	2601
690	5798	2592
691	5805	2583
692	5813	2575
693	5820	2566
694	5827	2557
695	5835	2549
696	5842	2539
697	5851	2531
698	5864	2525
699	5871	2516
700	5878	2507
701	5885	2498
702	5892	2489
703	5900	2480
704	5910	2473
705	5917	2464
706	5925	2455
707	5934	2447
708	5943	2439
709	5950	2430
710	5957	2421
711	5969	2414
712	5980	2407
713	5991	2399
714	6001	2392
715	6010	2384
716	6018	2375
717	6028	2367
718	6036	2359
719	6044	2350
720	6053	2342
721	6061	2334
722	6071	2326
723	6081	2318
724	6089	2309
725	6097	2301
726	6107	2293
727	6122	2287
728	6131	2279
729	6139	2270
730	6148	2262
731	6155	2253
732	6163	2245
733	6174	2237
734	6182	2228
735	6189	2220
736	6196	2211
737	6204	2202
738	6213	2194
739	6225	2187
740	6235	2179
741	6246	2171
742	6255	2163
743	6262	2155
744	6271	2146
745	6281	2138
746	6290	2130
747	6301	2122
748	6310	2114
749	6317	2105
750	6330	2099
751	6339	2090
752	6349	2082
753	6358	2074
754	6365	2065
755	6373	2057
756	6382	2048
757	6388	2039
758	6396	2030
759	6402	2021
760	6412	2013
761	6421	2005
762	6429	1997
763	6436	1988
764	6444	1979
765	6456	1972
766	6467	1964
767	6475	1956
768	6483	1947
769	6490	1938
770	6498	1930
771	6505	1921
772	6514	1912
773	6521	1904
774	6530	1895
775	6537	1887
776	6545	1878
777	6554	1870
778	6561	1861
779	6570	1853
780	6583	1846
781	6590	1837
782	6597	1828
783	6606	1820
