ID,가격
TEST_00000,73.45
TEST_00001,26.65
TEST_00002,74.49
TEST_00003,125.45
TEST_00004,49.27
TEST_00005,46.67
TEST_00006,63.69
TEST_00007,49.27
TEST_00008,51.87
TEST_00009,20.67
TEST_00010,14.82
TEST_00011,3.12
TEST_00012,56.94
TEST_00013,89.57
TEST_00014,30.55
TEST_00015,77.87
TEST_00016,9.75
TEST_00017,123.5
TEST_00018,23.27
TEST_00019,38.87
TEST_00020,64.87
TEST_00021,33.02
TEST_00022,155.87
TEST_00023,142.87
TEST_00024,107.77
TEST_00025,57.07
TEST_00026,29.77
TEST_00027,62.39
TEST_00028,30.55
TEST_00029,86.97
TEST_00030,114.27
TEST_00031,101.4
TEST_00032,27.17
TEST_00033,18.07
TEST_00034,22.36
TEST_00035,75.27
TEST_00036,34.97
TEST_00037,25.87
TEST_00038,30.55
TEST_00039,52.65
TEST_00040,51.87
TEST_00041,70.85
TEST_00042,7.41
TEST_00043,86.45
TEST_00044,41.47
TEST_00045,142.99
TEST_00046,61.1
TEST_00047,114.4
TEST_00048,120.64
TEST_00049,16.9
TEST_00050,14.3
TEST_00051,40.17
TEST_00052,28.34
TEST_00053,34.71
TEST_00054,39.0
TEST_00055,25.87
TEST_00056,70.2
TEST_00057,4.29
TEST_00058,109.07
TEST_00059,54.47
TEST_00060,29.25
TEST_00061,83.2
TEST_00062,16.84
TEST_00063,8.97
TEST_00064,70.07
TEST_00065,44.2
TEST_00066,27.82
TEST_00067,11.31
TEST_00068,57.07
TEST_00069,148.85
TEST_00070,101.27
TEST_00071,51.61
TEST_00072,81.77
TEST_00073,31.2
TEST_00074,32.11
TEST_00075,97.37
TEST_00076,14.69
TEST_00077,107.77
TEST_00078,29.51
TEST_00079,26.0
TEST_00080,15.47
TEST_00081,90.87
TEST_00082,110.37
TEST_00083,23.27
TEST_00084,28.47
TEST_00085,42.51
TEST_00086,41.47
TEST_00087,43.33
TEST_00088,35.75
TEST_00089,27.17
TEST_00090,19.24
TEST_00091,25.87
TEST_00092,31.2
TEST_00093,11.96
TEST_00094,34.45
TEST_00095,88.27
TEST_00096,6.24
TEST_00097,44.2
TEST_00098,26.52
TEST_00099,38.87
TEST_00100,18.07
TEST_00101,64.61
TEST_00102,38.87
TEST_00103,30.94
TEST_00104,26.65
TEST_00105,25.87
TEST_00106,24.57
