,이름,링크,연식,주행거리,연료,배기량,색상,가격
0,현대 그랜저IG 하이브리드  2.4 HEV 익스클루시브 스페셜???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765497&gubun=K,2018.05,"75,927 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,"3,050"
1,BMW M8  4.4 쿠페 컴페티션???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765476&gubun=I,2021.01?(20년형),"5,300 km",가솔린,"4,395 cc (625마력)",검정색,"15,000"
2,폭스바겐 크래프터  2.0 TDI -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=761132&gubun=I,2022.06,"9,381 km",디젤,"1,968 cc (177마력)",흰색투톤,"12,000"
3,기아 스팅어 마이스터  3.3 터보 AWD GT 아크로 에디션???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765373&gubun=K,2021.11?(22년형),"24,594 km",가솔린,"3,342 cc (373마력)",검정색,"5,590"
4,기아 모하비 더 마스터  3.0 디젤 4WD 6인승 플래티넘???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765482&gubun=K,2020.02,"81,790 km",디젤,"2,959 cc (260마력)",흰색,"3,899"
5,현대 제네시스 DH  G330 AWD 프리미엄???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765467&gubun=K,2015.12?(16년형),"62,645 km",가솔린,"3,342 cc (282마력)",진회색,"2,690"
6,기아 스팅어 마이스터  2.5 터보 마스터즈???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765495&gubun=K,2020.09?(21년형),"22,868 km",가솔린,"2,497 cc (304마력)",흰색,"3,830"
7,캐딜락 에스컬레이드 3세대  6.2 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765488&gubun=I,2008.07,"80,000 km",가솔린,"6,162 cc (403마력)",검정색,"2,650"
8,기아 더 K9  3.3 터보 AWD 그랜드 마스터즈???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765486&gubun=K,2021.03,"55,449 km",가솔린,"3,342 cc (370마력)",검정색,"4,890"
9,현대 그랜저IG  3.0 익스클루시브 스페셜???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765485&gubun=K,2017.08?(18년형),"103,000 km",가솔린,"2,999 cc (266마력)",검정색,"2,000"
10,현대 포터2  CRDi 슈퍼캡 초장축 스마트??,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765475&gubun=K,2017.05,"132,000 km",디젤,"2,497 cc ()",흰색,950
11,현대 포터2  파워게이트 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765442&gubun=K,2014.09?(15년형),"232,000 km",디젤,"2,497 cc ()",청색,750
12,현대 포터2  CRDi 슈퍼캡 기본형???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765470&gubun=K,2012.02,"201,000 km",디젤,"2,497 cc (133마력)",흰색,499
13,현대 그랜저IG  2.4 모던???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765454&gubun=K,2017.05?(18년형),"30,186 km",가솔린,"2,359 cc (190마력)",회색,"2,390"
14,르노코리아 QM3  1.5 디젤 LE???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765461&gubun=K,2016.09,"72,827 km",디젤,"1,461 cc (90마력)",기타색상,790
15,GM대우 알페온  EL240 프리미엄??,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765462&gubun=K,2011.05,"171,490 km",가솔린,"2,384 cc (181마력)",회색,450
16,제네시스 G80  3.3 터보 AWD 스포츠???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765447&gubun=K,2016.10?(17년형),"78,761 km",가솔린,"3,342 cc (370마력)",파란색,"3,890"
17,현대 제네시스  BH330 럭셔리???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765443&gubun=K,2009.07?(10년형),"170,521 km",가솔린,"3,342 cc (262마력)",검정색,"1,390"
18,기아 니로  1.6 HEV 프레스티지???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765321&gubun=K,2018.03,"97,889 km",가솔린 하이브리드,"1,580 cc (141마력)",흰색,"1,699"
19,BMW  7세대  M340i xDrive 투어링 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765432&gubun=I,2022.09,"4,300 km",가솔린,"2,998 cc (387마력)",흰색 (알파인 화이트),"6,680"
20,BMW  2세대  118d M 스포츠???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765424&gubun=I,2013.11?(14년형),"151,133 km",디젤,"1,995 cc (143마력)",주황색 (블랙 랩핑),990
21,제네시스 GV80  3.0 디젤 AWD 7인승???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765287&gubun=K,2020.12,"46,514 km",디젤,"2,996 cc (278마력)",연금색,"6,290"
22,현대 e-카운티  캠핑카 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765423&gubun=K,2012.03,"119,086 km",디젤,"3,933 cc ()",회색,"5,280"
23,BMW  7세대  M340i xDrive 투어링 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765431&gubun=I,2022.01,"14,000 km",가솔린,"2,998 cc (387마력)",진회색 (미네랄 그레이),"6,680"
24,현대 e-카운티  캠핑카 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765396&gubun=K,2005.06,"203,942 km",디젤,"3,907 cc ()",흰색투톤,"2,880"
25,현대 그랜드스타렉스  캠핑카 -???,https://www.bobaedream.co.kr/cyber/CyberCar_view.php?no=765400&gubun=K,2012.12?(13년형),"236,309 km",디젤,"2,497 cc (174마력)",흰색,"2,280"
